RecallPRA	PrecPRA	RecallHoffmann	PrecHoffmann	RecallWeston	PrecWeston	RecallPerMention	PrecPerMention	RecallPerEntityPair	PrecPerEntityPair
5.14E-04	0.5	5.14E-04	0.5	0.00084317	0.603565152	5.14E-04	1	5.14E-04	1
5.14E-04	0.333333333	0.001027749	0.666666667	0.000674536	0.618336642	0.001027749	1	0.001027749	1
0.001027749	0.5	0.001027749	0.5	0.000674536	0.638378836	0.001541624	1	0.001027749	0.666666667
0.001027749	0.4	0.001541624	0.6	0.000674536	0.647872507	0.002055498	1	0.001541624	0.75
0.001027749	0.333333333	0.002055498	0.666666667	0.001011804	0.665797881	0.002569373	1	0.002055498	0.8
0.001541624	0.428571429	0.002055498	0.571428571	0.003878583	0.739577063	0.003083248	1	0.002569373	0.833333333
0.001541624	0.375	0.002055498	0.5	0.004047218	0.753286585	0.003597122	1	0.003083248	0.857142857
0.002055498	0.444444444	0.002569373	0.555555556	0.004384486	0.765937698	0.004110997	1	0.003083248	0.75
0.002569373	0.5	0.003083248	0.6	0.004384486	0.777541073	0.004624872	1	0.003597122	0.777777778
0.003083248	0.545454545	0.003597122	0.636363636	0.00455312	0.787031187	0.005138746	1	0.004110997	0.8
0.003083248	0.5	0.004110997	0.666666667	0.005059022	0.79440448	0.005652621	1	0.004624872	0.818181818
0.003083248	0.461538462	0.004624872	0.692307692	0.005733558	0.80388392	0.006166495	1	0.004624872	0.75
0.003597122	0.5	0.005138746	0.714285714	0.00623946	0.81442177	0.00668037	1	0.004624872	0.692307692
0.004110997	0.533333333	0.005138746	0.666666667	0.006913997	0.82390121	0.00668037	0.928571429	0.005138746	0.714285714
0.004624872	0.5625	0.005652621	0.6875	0.007419899	0.832329356	0.007194245	0.933333333	0.005652621	0.733333333
0.005138746	0.588235294	0.006166495	0.705882353	0.007419899	0.810177457	0.007708119	0.9375	0.005652621	0.6875
0.005138746	0.555555556	0.00668037	0.722222222	0.007419899	0.802793491	0.008221994	0.941176471	0.005652621	0.647058824
0.005138746	0.526315789	0.007194245	0.736842105	0.007588533	0.795405967	0.008221994	0.888888889	0.006166495	0.666666667
0.005652621	0.55	0.007708119	0.75	0.008094435	0.811218079	0.008735868	0.894736842	0.006166495	0.631578947
0.005652621	0.523809524	0.008221994	0.761904762	0.009106239	0.816470994	0.009249743	0.9	0.006166495	0.6
0.006166495	0.545454545	0.008735868	0.772727273	0.009274874	0.823851403	0.009763618	0.904761905	0.00668037	0.619047619
0.00668037	0.565217391	0.009249743	0.782608696	0.009780776	0.831224696	0.010277492	0.909090909	0.00668037	0.590909091
0.007194245	0.583333333	0.009763618	0.791666667	0.010286678	0.840707694	0.010791367	0.913043478	0.00668037	0.565217391
0.007194245	0.56	0.010277492	0.8	0.011129848	0.850183576	0.011305242	0.916666667	0.00668037	0.541666667
0.007708119	0.576923077	0.010277492	0.769230769	0.011973019	0.859659459	0.011305242	0.88	0.007194245	0.56
0.008221994	0.592592593	0.010277492	0.740740741	0.012816189	0.867025637	0.011819116	0.884615385	0.007708119	0.576923077
0.008735868	0.607142857	0.010791367	0.75	0.013490725	0.870175963	0.012332991	0.888888889	0.008221994	0.592592593
0.009249743	0.620689655	0.011305242	0.75862069	0.013490725	0.861737144	0.012846865	0.892857143	0.008735868	0.607142857
0.009763618	0.633333333	0.011819116	0.766666667	0.013659359	0.855404473	0.01336074	0.896551724	0.008735868	0.586206897
0.009763618	0.612903226	0.012332991	0.774193548	0.013659359	0.851185063	0.013874615	0.9	0.008735868	0.566666667
0.009763618	0.59375	0.012332991	0.75	0.014671164	0.858547684	0.014388489	0.903225806	0.009249743	0.580645161
0.010277492	0.606060606	0.012332991	0.727272727	0.015851602	0.862742189	0.014902364	0.90625	0.009249743	0.5625
0.010791367	0.617647059	0.012846865	0.735294118	0.016694772	0.867998662	0.015416238	0.909090909	0.009763618	0.575757576
0.010791367	0.6	0.01336074	0.742857143	0.017369309	0.875368398	0.015930113	0.911764706	0.010277492	0.588235294
0.011305242	0.611111111	0.013874615	0.75	0.018043845	0.876409019	0.016443988	0.914285714	0.010277492	0.571428571
0.011819116	0.621621622	0.014388489	0.756756757	0.018043845	0.871134758	0.016957862	0.916666667	0.010277492	0.555555556
0.011819116	0.605263158	0.014902364	0.763157895	0.018212479	0.864802086	0.017471737	0.918918919	0.010277492	0.540540541
0.012332991	0.615384615	0.015416238	0.769230769	0.018043845	0.855311973	0.017985612	0.921052632	0.010791367	0.552631579
0.012846865	0.625	0.015930113	0.775	0.018212479	0.847924449	0.017985612	0.897435897	0.011305242	0.564102564
0.012846865	0.609756098	0.016443988	0.780487805	0.018212479	0.841595335	0.018499486	0.9	0.011819116	0.575
0.01336074	0.619047619	0.016957862	0.785714286	0.019392917	0.842625284	0.018499486	0.87804878	0.012332991	0.585365854
0.01336074	0.604651163	0.017471737	0.790697674	0.019055649	0.837358137	0.018499486	0.857142857	0.012846865	0.595238095
0.01336074	0.590909091	0.017985612	0.795454545	0.019055649	0.828919319	0.019013361	0.860465116	0.01336074	0.604651163
